,c,c_growth,pc,k,k_growth,pk,s,s_growth,ps,sp500_ret_real,TBill_ret_real
2002-01-01,21575.49377515679,0.01846570846329798,74.781,8201.626395212374,0.0736772751528183,120.14299999999999,61510.58698442747,0.01845166909426532,77.123,-0.09154815970921781,0.02588459837125434
2003-01-01,22335.438311475624,0.03522257910935411,76.327,8792.945262284884,0.0720977570275192,115.75200000000001,62894.77523708902,0.022503252212696,79.506,-0.2117347535517453,0.011384793422218209
2004-01-01,23065.050018994556,0.03266610206364606,78.97,9521.482447483435,0.08285473905125129,113.488,64791.56957237845,0.030158217882793048,81.965,0.202502983477171,-0.0003545692783227805
2005-01-01,23833.66667479695,0.033323866853504525,81.99799999999999,10049.150112635674,0.05541864599999391,112.309,66894.93699290212,0.032463597261276345,84.67299999999999,0.06310450307860549,0.01120611743006461
2006-01-01,24615.590221517865,0.03280752212364213,84.553,10493.287313838462,0.04419649385517044,110.38799999999999,68716.77547479913,0.027234325403285853,87.616,0.04153050454078655,0.03343523931272063
2007-01-01,25034.041428751967,0.016999438301841252,87.041,10996.528999055889,0.04795843954008161,108.038,70036.23668743647,0.019201442493779863,90.516,0.1042262213451699,0.0321387491830154
2008-01-01,24639.406337047356,-0.01576393858849201,91.904,10364.496472097499,-0.05747563863221328,106.012,70929.4685472194,0.012753852891458362,93.235,-0.00808958432199558,-0.01573381015792441
2009-01-01,24231.291984754153,-0.01656348155107823,89.46700000000001,9730.061526629495,-0.06121232682899558,104.02,70700.57624348675,-0.0032270410087771317,94.23100000000001,-0.34026345159387283,0.026160651089413012
2010-01-01,24612.852834609792,0.015746615991244273,92.182,10273.164425553585,0.055817005620952154,102.10700000000001,71573.84036599727,0.01235158422900362,95.95700000000001,0.19840159498597454,-0.013023997982832825
2011-01-01,24829.20984721255,0.008790407762018004,97.652,10796.791074249604,0.05097033659789818,101.28,72821.7637556996,0.017435467809481908,97.814,0.08177712381143643,-0.03586413797292787
2012-01-01,24935.18,0.004267963154669152,100.0,11442.21,0.05977877327734182,100.0,73690.75,0.01193305681548229,100.0,-0.008239413591897837,-0.01138104300000009
2013-01-01,25384.77448492236,0.018030528952362124,100.08200000000001,12140.831700146988,0.061056535419904856,97.96799999999999,74154.95132726064,0.006299316091377127,102.316,0.15197708762577133,0.006568953896606722
2014-01-01,26052.754003518923,0.026314179745552613,100.59899999999999,13015.69753429251,0.07205979423427245,95.429,75949.36261974733,0.024198131889637375,104.804,0.258871646944689,0.005224647189648213
2015-01-01,26937.203889094875,0.03394842193867453,97.09200000000001,14006.35189271407,0.07611227564342804,93.35799999999999,78490.71175511274,0.03346109891782878,106.694,0.15891198860231337,0.03204992908984727
2016-01-01,27619.787646801145,0.025339814797281424,95.87799999999999,14818.551971640856,0.05798798182053977,91.117,80355.53316233052,0.02375849785941475,109.16,-0.005839422318098975,0.019908478134111007
2017-01-01,28339.853250551594,0.02607064228583389,97.445,15845.863521482728,0.06932604155978939,89.025,81954.61615475382,0.019900098095210206,111.868,0.11858832387795193,0.006397903739019162
2018-01-01,29102.957316766187,0.026926888416394235,99.31299999999999,16926.412960276022,0.06819126249120844,87.529,83671.13078414832,0.020944697320688155,114.991,0.1858718841821092,0.012475135441602614
2019-01-01,30015.07882111035,0.031341196511967206,99.212,17745.752518418285,0.04840597710011796,86.463,85205.13147166735,0.018333691359764037,117.744,-0.06440554395855458,0.02554229466687774
2020-01-01,30789.828723070223,0.025812022902800935,98.729,18881.679923491403,0.06401122769486056,85.742,78985.34615544732,-0.07299777852333056,120.105,0.3058267809103137,0.0096033148643484
