,pib,c,c_growth,pc,k,k_growth,pk,s,s_growth,ps,sp500_ret_real,TBill_ret_real
1975-01-01,55456.59186054492,10661.69848417581,0.0017372428938255968,31.534000000000002,1737.4686882003957,0.02049707140344781,75.85,24594.464786723096,0.009359638787518776,21.029,0.20140964558566266,-0.0005343815265883567
1975-04-01,55871.90935227465,10896.735867538788,0.02204502253668328,31.647,1770.300722666874,0.01889647548151463,77.214,24888.47827103897,0.011954457511699657,21.377,0.10655771910853207,0.005546298457384413
1975-07-01,56829.195333532756,11002.503631811578,0.009706371298571215,32.353,1880.4268456719742,0.06220757953439704,78.061,25006.430277420543,0.004739221301401253,21.772,-0.0939211136707424,-0.0034877976022451573
1975-10-01,57594.99836547892,10975.921630859375,-0.0024159956535116933,32.768,1935.277122418339,0.029169056415360828,79.26100000000001,25365.822898837945,0.01437200821669915,22.201999999999998,0.04653151790661214,0.00025408347667021935
1976-01-01,58867.80921584478,11198.90277354465,0.02031548239724601,32.81,2032.8017826243915,0.050393124104203046,80.331,25661.231723526806,0.01164593894181909,22.57,0.09776075194828882,0.0071613212937495785
1976-04-01,59306.8869464989,11371.311875152402,0.015395178000387366,32.808,2042.4997537673596,0.0047707411641717545,81.22399999999999,25831.991951710264,0.0066544049803698435,22.862,-0.005004325692092082,0.009305439241830138
1976-07-01,59640.80677794639,11458.574181117534,0.0076738996276946025,33.216,2066.06493364312,0.01153742115870271,82.20700000000001,26144.35515062959,0.012092106543825754,23.269000000000002,0.029469557405418678,0.00029955386368563097
1976-10-01,60128.477727004254,11579.249264421791,0.010531422269196122,33.647,2098.8193356220913,0.015853520112368846,83.59700000000001,26502.68260740991,0.013705729390372401,23.671,-0.028876609164793177,-0.002708939854367043
1977-01-01,60835.38805102634,11571.624540307046,-0.0006584817323324055,34.262,2177.8580309040317,0.03765864643061967,84.455,26829.040006626354,0.012314126990495389,24.146,-0.033149048552224114,-0.004369650496352406
1977-04-01,61915.64523415149,11570.433636181251,-0.00010291589756017405,34.891,2229.1951368927007,0.023572292252382887,84.884,26928.23782642245,0.003697404743948862,24.623,-0.050485886748925735,-0.0022266316350290083
1977-07-01,62933.66407224764,11627.634527557939,0.004943711979628729,35.253,2261.8753352144204,0.014660088648530412,85.766,27215.61204972904,0.010671854027693328,25.096,-0.0113114540566438,0.0030460907801732606
1977-10-01,63236.52300949598,11877.30267769522,0.02147196401345064,35.665,2309.248222380744,0.02094407522324082,86.914,27473.585127662078,0.009478863729452947,25.497,-0.03392969264724688,0.0026598573164253736
1978-01-01,63323.17599034094,11927.863862755949,0.004256958539557987,36.14,2247.8221415607986,-0.026600033822530178,88.16,27902.028717711826,0.015594746301179407,25.976999999999997,-0.0915935280602822,0.0019426413836867162
1978-04-01,65716.82638105976,12019.347168179853,0.007669714080955847,37.008,2415.3892563460854,0.07454642949149659,89.50399999999999,28320.72765700483,0.0150060392930218,26.496,0.09335562812989728,-0.0052608835933162235
1978-07-01,66333.93341826843,12112.076986468885,0.007715046166111739,37.617,2382.962816368714,-0.013424933431402719,90.954,28524.80640260847,0.007205985244279622,26.989,0.0478916178906148,0.0013992351067169118
1978-10-01,67273.66305440126,12268.146057136883,0.01288540940107552,38.259,2402.0379054740342,0.008004778326498485,92.546,28675.296851737534,0.005275774601411598,27.539,-0.0870742355462566,0.0034871924540986754
1979-01-01,67363.69211080599,12321.755492270137,0.004369807376239043,39.328,2374.0603302533787,-0.01164743285561698,94.04899999999999,28975.044754744,0.010453175238473777,27.93,-0.017304138831186866,-0.0014361869832317797
1979-04-01,67457.55343243173,12298.140770252325,-0.0019165062991735038,40.662,2320.707598428488,-0.022473199667675026,95.704,29154.063579579164,0.006178379579753868,28.656999999999996,-0.005224468018870665,-0.0059845626642950345
1979-07-01,68024.09792171362,12443.054860763716,0.01178341451920284,41.979,2385.611867523398,0.0279674480054537,96.802,29263.428766189503,0.0037512844928739852,29.34,0.055984266910199976,-0.0025895744190522763
1979-10-01,68216.45379413974,12509.868497344436,0.005369552519727483,43.117,2324.285105432996,-0.025706932014078143,98.546,29507.072253469567,0.008325869440205969,30.046999999999997,-0.03842361736999267,0.0038995996843502745
1980-01-01,68371.77727673757,12505.773310999442,-0.00032735646628601067,44.775,2287.7212007689654,-0.015731247676355475,101.435,29555.227272727272,0.00163198228695971,30.8,0.02626220379525912,-0.003860876123915058
1980-04-01,66968.7582293936,12337.344669718772,-0.013468070873516425,45.87,2040.999711066166,-0.10784596025943627,103.83,29368.2709673331,-0.006325659541339013,31.561,-0.03877045054137107,-0.0009916226589676835
1980-07-01,66891.85771491464,12307.572425866229,-0.0024131808464116222,46.841,2131.6566088420573,0.04441788858879092,105.72200000000001,29707.80444115013,0.01156123471465853,32.379,0.0948522006493635,0.0016692305617118652
1980-10-01,68108.97684498689,12355.289004053997,0.0038770097413756144,47.854,2196.793572265516,0.0305569683002751,107.53399999999999,30163.79362123851,0.015349137664874446,33.298,0.08671117515127724,0.01177287986285891
